fault_text,fault_category,contains_parameters,text_complexity
液压缸缓冲装置失效，行程末端冲击过大,液压系统,无参数,中
变频器过流跳闸，输出电流超额定30%,控制系统,百分比参数,中
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,电气系统,"电阻参数, 百分比参数",高
变频器频率漂移，设定50Hz实际输出45Hz,控制系统,频率参数,中
继电器接触不良，信号传输时断时续,其他系统,无参数,中
传感器量程超限，显示值固定为最大值,其他系统,无参数,中
PLC通讯故障，与变频器的Modbus连接中断,控制系统,无参数,中
轴承磨损异响，运转时出现周期性异音,机械系统,无参数,中
PLC信号丢失，传感器反馈数据无更新,控制系统,无参数,中
继电器吸合不良，线圈电压正常但触点未闭合,其他系统,无参数,中
电机过载停机，故障代码E012，需重启复位,电气系统,故障代码,中
离心泵轴承发热，温度达75℃,机械系统,温度参数,低
传感器响应延迟，信号滞后2秒,其他系统,无参数,低
离心泵空转异响，进口阀门未打开导致气蚀,其他系统,无参数,中
液压缸密封件损坏导致漏油，每小时泄漏5ml,液压系统,无参数,中
变频器散热风扇故障，散热片温度达75℃,控制系统,温度参数,中
电机负载达额定120%时出现过热，绕组温度升至105℃,电气系统,"温度参数, 百分比参数",高
传感器无输出信号，接线端子接触不良,其他系统,无参数,中
变频器过压报警，直流母线电压达800V,控制系统,无参数,中
变频器参数紊乱，加速时间被异常修改,控制系统,无参数,中
轴承润滑脂干涸，出现干摩擦异响,机械系统,无参数,低
继电器线圈烧毁，电阻值无穷大,其他系统,无参数,低
电机连续运行8小时后出现异响，振动值超额定20%,电气系统,百分比参数,中
离心泵流量不足，出口管路堵塞,其他系统,无参数,低
PLC程序报错，梯形图逻辑错误导致误动作,控制系统,无参数,中
PLC断电记忆丢失，参数恢复至出厂默认值,控制系统,无参数,中
液压缸动作卡顿，换向时出现滞涩现象,液压系统,无参数,中
液压缸活塞杆变形，伸出时出现偏斜,液压系统,无参数,中
继电器触点烧蚀，接触电阻增大至5Ω,其他系统,电阻参数,中
离心泵密封泄漏，机械密封端面磨损,其他系统,无参数,中
轴承间隙过大，径向游隙超0.15mm,机械系统,无参数,中
轴承滚珠破损，振动频谱出现冲击峰值,机械系统,无参数,中
继电器误动作，无输入信号时触点自行闭合,其他系统,无参数,中
离心泵叶轮磨损，流量下降至额定70%,其他系统,百分比参数,中
电机轴承润滑不足导致转速异常，输出转速波动±5%,电气系统,百分比参数,中
PLC输入输出点I0.2损坏，无信号输入,控制系统,无参数,中
轴承温升过高，连续运行2小时后温度达80℃,机械系统,温度参数,中
传感器抗干扰差，受电磁干扰出现跳变,其他系统,无参数,中
传感器数值漂移，测量值比实际值高10%,其他系统,百分比参数,中
液压缸压力不足，工作压力仅达额定60%,液压系统,百分比参数,中
